,name,discounted_price,original_price,discount,rating
71,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black","₦ 194,250","₦ 220,000",12%,"<div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>"
72,"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","₦ 49,900","₦ 91,000",45%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
73,"itel A60s 6.6""HD 4GB RAM/128GB ROM Android 12 - Green","₦ 57,130","₦ 75,000",24%,"<div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>"
74,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","₦ 115,900","₦ 149,000",22%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
75,"Tecno Spark 10 Pro 6.8"" 8GB RAM/128GB ROM Android 12 - White","₦ 119,087","₦ 145,000",18%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
76,"Tecno Pop 7 Pro 6.6"" 4GB RAM/64GB ROM Android 12 - Purple","₦ 70,723","₦ 121,373",42%,"<div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>"
77,"XIAOMI Redmi Note 12S 6.43"" 8GB RAM/256GB ROM Android 13 - Black","₦ 168,950","₦ 195,000",13%,"<div class=""stars _s"">4.6 out of 5<div class=""in"" style=""width:91.99999999999999%""></div></div>"
78,"Tecno POP 7(BF6) 6.6"" HD+ 2GB RAM/64GB ROM Android 12 - Capri Blue","₦ 66,850","₦ 90,000",26%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
79,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery White","₦ 59,990","₦ 69,990",14%,
80,"Infinix HOT 30i 6.56"" 4GB RAM/128GB ROM Android 12 - Black","₦ 93,000","₦ 180,300",48%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
81,"XIAOMI Redmi 12 6.79"" 8GB RAM/256 GB ROM Android 13-Midnight Black","₦ 123,200","₦ 130,000",5%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
82,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Blue","₦ 52,900","₦ 68,500",23%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
83,"Samsung Galaxy A14  6.6"" 4GB RAM/128GB ROM Android 13  - Black","₦ 127,545","₦ 138,000",8%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
84,"itel P40 Plus 6.6"" 4GB RAM/128GB ROM Android 13 - Blue","₦ 67,900","₦ 85,000",20%,"<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>"
85,"Infinix Smart 7 HD 6.6"" 2GB RAM/64GB ROM 4G Android 12 - White","₦ 72,000","₦ 111,000",35%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
86,"Tecno Pop 7 Pro 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 70,723","₦ 121,373",42%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
87,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 52,900","₦ 60,200",12%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
88,"Tecno Spark 10c 6.6"" 4GB RAM/128GB ROM Android 13 - Black","₦ 92,500","₦ 140,980",34%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
89,"Tecno Camon 20 6.67"" 8GB/256GB Android 13 -GlacierGlow + Free Gift","₦ 156,615","₦ 270,800",42%,"<div class=""stars _s"">4.6 out of 5<div class=""in"" style=""width:91.99999999999999%""></div></div>"
90,"Infinix Hot 30i 6.6"" 4GB RAM/128GB ROM Android 12 - Blue","₦ 93,000","₦ 186,300",50%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
91,"Oppo Refurbished OPPO  F7 6.2 ""FHD+   6GB+128GB ,  Black","₦ 45,990","₦ 89,990",49%,"<div class=""stars _s"">3.7 out of 5<div class=""in"" style=""width:74%""></div></div>"
92,"Infinix Smart 7 Plus 6.6"" 4GB RAM/64GB ROM Android 12 - Green","₦ 73,186","₦ 120,935",39%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
93,"Samsung Galaxy A14 6.6"" 4GB RAM/64GB ROM Android 13 - Black","₦ 121,520","₦ 135,000",10%,"<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>"
94,"XIAOMI Redmi A2+ 6.52"" 2GB RAM/32GB ROM Android 12 - Light Blue","₦ 47,900","₦ 69,000",31%,"<div class=""stars _s"">4.6 out of 5<div class=""in"" style=""width:91.99999999999999%""></div></div>"
95,"Tecno Spark 10 Pro 6.8"" 8GB RAM/128GB ROM Android 13 - Black","₦ 119,087","₦ 200,000",40%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
96,"itel A18 5.0"" 1GB RAM/32GB ROM Android 11 - Morion Grey","₦ 36,450","₦ 40,000",9%,"<div class=""stars _s"">3.9 out of 5<div class=""in"" style=""width:78%""></div></div>"
97,IPhone X 3GB RAM+64GB (Renewed) -White,"₦ 187,000","₦ 319,608",41%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
98,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","₦ 110,010","₦ 120,000",8%,"<div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>"
99,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery Black","₦ 59,990","₦ 69,990",14%,"<div class=""stars _s"">3.8 out of 5<div class=""in"" style=""width:76%""></div></div>"
100,"Tecno Pop 7 Pro 6.6"" 3GB RAM/64GB ROM Android 12 - Blue","₦ 75,800","₦ 119,216",36%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
101,IPhone X 3GB RAM+64GB(Renewed)  -Black,"₦ 187,000","₦ 319,608",41%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
102,"XIAOMI Redmi 12 6.79"" 8GB RAM/256GB ROM Android 13 - Midnight Black","₦ 127,900","₦ 149,000",14%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
103,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Blue","₦ 72,000","₦ 110,800",35%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
104,XIAOMI Redmi A2+ 6.52” 2GB RAM/32GB ROM Android 12 - Light Green,"₦ 47,900","₦ 69,000",31%,"<div class=""stars _s"">3.9 out of 5<div class=""in"" style=""width:78%""></div></div>"
105,"itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh","₦ 80,990","₦ 100,000",19%,"<div class=""stars _s"">3.9 out of 5<div class=""in"" style=""width:78%""></div></div>"
106,IPhone 6 16GB(Refurbished)-Grey (Grade A),"₦ 45,500","₦ 90,196",50%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
107,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Black","₦ 72,000","₦ 110,800",35%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
108,"Samsung Galaxy A03 Core 6.5"" 2GB RAM/ 32GB ROM Android 11- Onyx Black","₦ 63,350","₦ 94,740",33%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
109,"Tecno Spark10 Pro 6.8"" 8GB/256GB ROM Android13 - Black + Free Gift","₦ 141,500","₦ 230,000",38%,"<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>"
110,"Samsung Galaxy A04s  6.5"" 4GB RAM/64GB ROM Android 12- Black","₦ 100,500","₦ 130,770",23%,"<div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>"
111,"XIAOMI Redmi Note 12 6.67"" 4GB RAM/128GB ROM Android 13 - Onyx Gray","₦ 127,570","₦ 145,000",12%,"<div class=""stars _s"">4 out of 5<div class=""in"" style=""width:80%""></div></div>"
112,"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","₦ 49,900","₦ 91,000",45%,"<div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>"
113,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black","₦ 194,250","₦ 220,000",12%,"<div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>"
114,"itel A60s 6.6""HD 4GB RAM/128GB ROM Android 12 - Green","₦ 57,130","₦ 75,000",24%,"<div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>"
115,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","₦ 115,900","₦ 149,000",22%,"<div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>"
116,"Tecno Spark 10 Pro 6.8"" 8GB RAM/128GB ROM Android 12 - White","₦ 119,087","₦ 145,000",18%,"<div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>"
117,"Tecno Pop 7 Pro 6.6"" 4GB RAM/64GB ROM Android 12 - Purple","₦ 70,723","₦ 121,373",42%,"<div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>"
118,"Tecno POP 7(BF6) 6.6"" HD+ 2GB RAM/64GB ROM Android 12 - Capri Blue","₦ 66,850","₦ 90,000",26%,"<div class=""stars _s"">4.2 out of 5<div class=""in"" style=""width:84%""></div></div>"
119,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery White","₦ 59,990","₦ 69,990",14%,
120,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Blue","₦ 52,900","₦ 68,500",23%,4.2 out of 5
121,"Infinix HOT 30i 6.56"" 4GB RAM/128GB ROM Android 12 - Black","₦ 93,000","₦ 180,300",48%,4.3 out of 5
122,"XIAOMI Redmi 12 6.79"" 8GB RAM/256 GB ROM Android 13-Midnight Black","₦ 123,200","₦ 130,000",5%,4.2 out of 5
123,"itel P40 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 52,900","₦ 60,200",12%,4.4 out of 5
124,"Samsung Galaxy A14  6.6"" 4GB RAM/128GB ROM Android 13  - Black","₦ 127,545","₦ 138,000",8%,4.2 out of 5
125,"itel P40 Plus 6.6"" 4GB RAM/128GB ROM Android 13 - Blue","₦ 67,900","₦ 85,000",20%,4.5 out of 5
126,"Infinix Smart 7 HD 6.6"" 2GB RAM/64GB ROM 4G Android 12 - White","₦ 72,000","₦ 111,000",35%,4.3 out of 5
127,"Tecno Pop 7 Pro 6.6"" 4GB RAM/64GB ROM Android 12 - Black","₦ 70,723","₦ 121,373",42%,4.3 out of 5
128,"Tecno Spark 10c 6.6"" 4GB RAM/128GB ROM Android 13 - Black","₦ 92,500","₦ 140,980",34%,4.4 out of 5
129,"Tecno Camon 20 6.67"" 8GB/256GB Android 13 -GlacierGlow + Free Gift","₦ 156,615","₦ 270,800",42%,4.6 out of 5
130,"Infinix Hot 30i 6.6"" 4GB RAM/128GB ROM Android 12 - Blue","₦ 93,000","₦ 186,300",50%,4.4 out of 5
131,"Oppo Refurbished OPPO  F7 6.2 ""FHD+   6GB+128GB ,  Black","₦ 45,990","₦ 89,990",49%,3.7 out of 5
132,"itel A60s 6.6""HD 4GB RAM/128GB ROM Android 12 - Green","₦ 57,130","₦ 75,000",24%,5 out of 5
133,"Infinix Smart 7 Plus 6.6"" 4GB RAM/64GB ROM Android 12 - Green","₦ 73,186","₦ 120,935",39%,4.2 out of 5
134,"itel A18 5.0"" 1GB RAM/32GB ROM Android 11 - Morion Grey","₦ 36,450","₦ 40,000",9%,3.9 out of 5
135,IPhone X 3GB RAM+64GB (Renewed) -White,"₦ 187,000","₦ 319,608",41%,4.1 out of 5
136,"Samsung Galaxy A14 6.6"" 4GB RAM/64GB ROM Android 13 - Black","₦ 121,520","₦ 135,000",10%,4.5 out of 5
137,"XIAOMI Redmi A2+ 6.52"" 2GB RAM/32GB ROM Android 12 - Light Blue","₦ 47,900","₦ 69,000",31%,4.6 out of 5
138,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery Black","₦ 59,990","₦ 69,990",14%,3.8 out of 5
139,"Tecno Spark 10 Pro 6.8"" 8GB RAM/128GB ROM Android 13 - Black","₦ 119,087","₦ 200,000",40%,4.4 out of 5
140,"XIAOMI Redmi 12 6.79"" 4GB RAM/128GB ROM Android 13 - Midnight Black","₦ 110,010","₦ 120,000",8%,4.8 out of 5
141,"XIAOMI Redmi 12 6.79"" 8GB RAM/256GB ROM Android 13 - Midnight Black","₦ 127,900","₦ 149,000",14%,4.3 out of 5
142,"Tecno Pop 7 Pro 6.6"" 3GB RAM/64GB ROM Android 12 - Blue","₦ 75,800","₦ 119,216",36%,4.3 out of 5
143,IPhone X 3GB RAM+64GB(Renewed)  -Black,"₦ 187,000","₦ 319,608",41%,4.1 out of 5
144,"XIAOMI Redmi 12 6.79"" 8GB RAM/128GB ROM Android 13 - Midnight Black","₦ 116,650","₦ 130,000",10%,4 out of 5
145,"Tecno Spark 10 6.6"" 8GB RAM/128GB ROM Android 12 - Black","₦ 106,971","₦ 181,373",41%,4.4 out of 5
146,"Samsung Galaxy A03 Core 6.5"" 2GB RAM/ 32GB ROM Android 11- Onyx Black","₦ 63,350","₦ 94,740",33%,4.2 out of 5
147,"itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh","₦ 80,990","₦ 100,000",19%,3.9 out of 5
148,"FreeYond F9,2GB+64GB,6.52"" Smartphone,4G,5000mAh,Black","₦ 49,900","₦ 91,000",45%,4.3 out of 5
149,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black","₦ 194,250","₦ 220,000",12%,4.8 out of 5
150,XIAOMI Redmi A2+ 6.52” 2GB RAM/32GB ROM Android 12 - Light Green,"₦ 47,900","₦ 69,000",31%,3.9 out of 5
151,IPhone 6 16GB(Refurbished)-Grey (Grade A),"₦ 45,500","₦ 90,196",50%,4.1 out of 5
152,"Samsung Galaxy A04s 6.5"" 4GB RAM/128GB ROM Android 12 - Black","₦ 112,090","₦ 129,500",13%,4.5 out of 5
153,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Black","₦ 72,000","₦ 110,800",35%,4.2 out of 5
154,"Tecno POP 7 6.6"" 2GB RAM/ 64GB ROM Android 12 - Blue","₦ 72,000","₦ 110,800",35%,4.2 out of 5
155,"Tecno Spark10 Pro 6.8"" 8GB/256GB ROM Android13 - Black + Free Gift","₦ 141,500","₦ 230,000",38%,4.5 out of 5
156,"Samsung Galaxy A04s  6.5"" 4GB RAM/64GB ROM Android 12- Black","₦ 100,500","₦ 130,770",23%,4.5 out of 5
157,"Kuhl 14Pro Max 6.82FHD,4GB+64GB, 5mp+13mp, 5000 MA Battery White","₦ 59,990","₦ 69,990",14%,
158,"Refurbished OPPO F11 6.53"" Full HD Display 6GB+128GB 48MP Dual Camera 4020mAh Battery 4G LTE Smartphone","₦ 49,990","₦ 119,980",58%,4.2 out of 5
159,"Tecno POP 7(BF6) 6.6"" HD+ 2GB RAM/64GB ROM Android 12 - Capri Blue","₦ 66,850","₦ 90,000",26%,4.2 out of 5
